bigram,probability
th,0.302663
he,0.466867
in,0.273851
er,0.147833
an,0.187144
re,0.222566
es,0.109379
on,0.174722
st,0.190311
nt,0.177529
en,0.093895
at,0.129477
ed,0.089404
nd,0.161748
to,0.119296
or,0.14037
ea,0.083044
ti,0.110949
ar,0.113596
te,0.109416
ng,0.135043
al,0.102487
it,0.118502
as,0.101313
is,0.116663
ha,0.166791
et,0.063002
se,0.111091
ou,0.095511
of,0.093757
le,0.166676
sa,0.105975
ve,0.633548
ro,0.106786
ra,0.104648
ri,0.100955
hi,0.127488
ne,0.095701
me,0.250067
de,0.164024
co,0.193641
ta,0.067642
ec,0.049401
si,0.09075
ll,0.135152
so,0.084214
li,0.12777
la,0.127151
el,0.044258
ma,0.200404
di,0.131523
ic,0.067057
rt,0.078383
ns,0.074604
rs,0.077584
io,0.06625
om,0.06467
ch,0.14581
ot,0.061668
ca,0.144347
ce,0.143426
ho,0.091478
be,0.277996
tt,0.050102
fo,0.199243
ts,0.048951
ss,0.066641
no,0.066157
ee,0.035452
em,0.034777
ac,0.048022
il,0.055841
da,0.106705
ni,0.061108
ur,0.14806
wa,0.212088
sh,0.059093
ei,0.030717
am,0.042849
tr,0.040928
dt,0.095634
us,0.134038
lo,0.085558
pe,0.173532
un,0.130096
nc,0.053274
wi,0.191611
ut,0.129238
ad,0.039902
ew,0.02832
ow,0.044852
ge,0.160748
ep,0.026879
ai,0.037482
ly,0.075386
ol,0.042139
ft,0.144202
os,0.041739
eo,0.02592
ef,0.025399
pr,0.146988
we,0.166069
do,0.079618
mo,0.1189
id,0.040283
ie,0.039061
mi,0.111722
pa,0.13448
fi,0.12628
po,0.132796
ct,0.086103
wh,0.14929
ir,0.036487
ay,0.030907
ga,0.125253
sc,0.038051
ke,0.308922
ev,0.020266
sp,0.037241
im,0.032936
op,0.032109
ds,0.063291
ld,0.056205
ul,0.086859
oo,0.031217
su,0.03534
ia,0.031241
gh,0.110104
pl,0.109336
eb,0.018665
ig,0.029769
vi,0.202678
iv,0.028515
wo,0.1147
yo,0.127063
rd,0.032972
tw,0.02305
ba,0.126621
ag,0.023627
ry,0.032106
ab,0.023537
ls,0.047592
sw,0.030556
ap,0.022942
fe,0.089803
tu,0.021931
ci,0.06117
fa,0.087998
ht,0.038724
fr,0.087803
av,0.022232
eg,0.015882
go,0.091253
bo,0.116696
bu,0.115852
ty,0.020718
mp,0.071934
oc,0.023475
od,0.023362
eh,0.014488
ys,0.105409
ey,0.014429
rm,0.026953
ov,0.022564
gt,0.081884
ya,0.101213
ck,0.052182
gi,0.079155
rn,0.025808
gr,0.077894
rc,0.025478
bl,0.099113
lt,0.037398
yt,0.093868
oa,0.020121
ye,0.090864
ob,0.019072
db,0.037057
ff,0.064073
sf,0.021399
rr,0.02154
du,0.035568
ki,0.168645
uc,0.049027
if,0.01793
af,0.015295
dr,0.0346
cl,0.04116
ex,0.010827
sm,0.019661
pi,0.061946
sb,0.019566
cr,0.039937
tl,0.013977
oi,0.016383
ru,0.019474
up,0.04531
by,0.07471
tc,0.013444
nn,0.018141
ak,0.013779
sl,0.017492
nf,0.017333
ue,0.042073
dw,0.029776
au,0.0131
pp,0.054304
ug,0.041257
rl,0.017547
rg,0.016973
br,0.065986
cu,0.033344
ua,0.039188
dh,0.027828
rk,0.016408
yi,0.062371
lu,0.024154
um,0.037478
bi,0.062207
ny,0.015208
nw,0.014762
qu,0.920831
og,0.01278
sn,0.014649
mb,0.037842
va,0.088836
df,0.024479
dd,0.024281
ms,0.036015
gs,0.043691
aw,0.010511
nh,0.01371
pu,0.042991
hr,0.017819
sd,0.013537
tb,0.00987
pt,0.042482
nm,0.013295
dc,0.022953
gu,0.041994
tm,0.009726
mu,0.034482
nu,0.01307
mm,0.034249
nl,0.012931
eu,0.007042
wn,0.045968
nb,0.012615
rp,0.013108
dm,0.021511
sr,0.012379
ud,0.029878
ui,0.029724
rf,0.012553
ok,0.01043
