bigram,probability
ie,0.286888
ni,0.304987
ow,0.159431
st,0.27315
na,0.204233
an,0.12618
po,0.357845
ch,0.248283
cz,0.246927
rz,0.182485
ze,0.17737
ra,0.169279
ro,0.166234
wa,0.176297
ia,0.102985
za,0.150976
wi,0.165007
od,0.098689
mi,0.288967
ar,0.085199
ta,0.192949
er,0.101143
pr,0.253579
on,0.092332
ki,0.200151
en,0.092972
ko,0.192998
ej,0.090764
zy,0.128938
es,0.085022
os,0.079429
sz,0.139165
ał,0.068153
ac,0.067915
or,0.076711
do,0.18364
yc,0.160495
ny,0.099504
ci,0.144391
je,0.252688
ne,0.095323
si,0.123313
ka,0.155612
dz,0.169966
as,0.061321
em,0.073323
li,0.226547
wy,0.112116
at,0.059285
eg,0.071107
sk,0.117538
aw,0.058039
to,0.131378
go,0.336599
ad,0.056334
al,0.056099
in,0.06148
te,0.12335
ic,0.059947
ak,0.053379
ię,0.057373
no,0.076604
ła,0.241838
zi,0.084436
wo,0.092079
am,0.048473
ed,0.057933
ty,0.107194
le,0.176972
re,0.082034
zn,0.079035
is,0.05088
ok,0.051233
aj,0.044309
ym,0.108912
ów,0.443251
tr,0.098344
az,0.042924
ma,0.140468
ol,0.047178
ec,0.049059
la,0.152612
ez,0.047292
op,0.044466
ew,0.046452
ap,0.038353
el,0.045414
ło,0.185229
ek,0.044891
zo,0.063783
ys,0.090238
ku,0.092387
da,0.099084
io,0.039862
ob,0.040313
ws,0.065107
om,0.038923
ry,0.060369
we,0.062791
ja,0.130359
mo,0.108396
ot,0.035879
oz,0.03585
dn,0.086802
pi,0.094949
ce,0.069531
ep,0.036864
yw,0.07548
oc,0.034135
oś,0.033699
ik,0.031758
yn,0.069193
pa,0.085433
cj,0.062777
kt,0.069689
by,0.173546
sp,0.053555
ją,0.107108
wn,0.049017
iw,0.02877
ąc,0.249637
et,0.030833
tu,0.057746
śc,0.390729
ur,0.089197
im,0.027783
kr,0.061758
de,0.06607
tw,0.053746
ii,0.026281
cy,0.052528
ud,0.082764
nt,0.035488
bi,0.147841
ru,0.040331
us,0.081392
gr,0.132271
oj,0.025085
sa,0.044203
lo,0.083328
yk,0.054316
dy,0.060585
ró,0.038617
ln,0.080656
zw,0.036527
iz,0.023533
yp,0.051563
ył,0.051467
ip,0.0233
ho,0.154692
js,0.081393
it,0.022185
un,0.070576
il,0.02197
me,0.065609
uj,0.069696
ły,0.095551
og,0.021793
lu,0.072615
wr,0.03588
ri,0.033638
yt,0.045536
ca,0.0413
ór,0.183467
tó,0.041355
ab,0.018187
że,0.243658
zk,0.030662
ił,0.019511
iu,0.019505
ji,0.069957
ba,0.11119
ag,0.017298
so,0.034165
br,0.109271
up,0.060502
ga,0.098366
mu,0.05508
rs,0.028966
uk,0.056526
gi,0.091598
ią,0.017511
yd,0.038115
du,0.04265
wp,0.028947
bo,0.098364
oł,0.017139
ha,0.114143
nk,0.023014
um,0.053595
tn,0.033855
yj,0.036697
se,0.029506
dr,0.040612
eo,0.017634
ut,0.051882
tk,0.032905
fi,0.316647
rw,0.025208
yz,0.035004
zc,0.024378
rt,0.02505
łu,0.069419
ks,0.035502
id,0.01566
mp,0.046478
ai,0.013833
ży,0.186205
ao,0.013783
co,0.030895
uc,0.048801
zą,0.023492
au,0.013629
eb,0.01624
ęd,0.125097
zp,0.022908
jn,0.052897
eż,0.015734
bu,0.083889
nn,0.019958
nd,0.01995
pe,0.039602
sc,0.025941
sy,0.025263
wc,0.023778
ub,0.045073
be,0.079979
hi,0.093241
oż,0.013949
uz,0.043568
wz,0.022909
rn,0.021501
dw,0.033542
wk,0.022132
ńs,0.506903
sł,0.022695
ul,0.040552
ęp,0.104511
ną,0.017138
ns,0.017118
zd,0.018684
uw,0.038715
pu,0.033046
yb,0.026478
nc,0.016467
ck,0.024099
ei,0.012849
zt,0.0183
su,0.021193
ir,0.011755
ls,0.039601
rc,0.018572
zu,0.018064
zm,0.017978
ść,0.160449
yl,0.025662
rd,0.018382
oo,0.011675
eś,0.012191
aż,0.010108
ug,0.035821
ea,0.011864
zb,0.016814
uż,0.034725
ąd,0.094346
lk,0.036448
ań,0.009532
rm,0.016496
ęt,0.086648
ww,0.017485
zę,0.015934
jo,0.036628
mn,0.030442
ęc,0.08403
ig,0.009936
hn,0.067111
he,0.066775
eu,0.01063
łs,0.043234
dl,0.024034
kó,0.021614
di,0.023386
żn,0.113522
ęz,0.078065
pó,0.025595
św,0.128747
hw,0.062779
ng,0.012704
mw,0.027463
ib,0.009166
kl,0.020747
gł,0.047613
ms,0.027271
yo,0.01998
łw,0.039753
dł,0.022246
tę,0.018141
ję,0.031953
hp,0.059101
wt,0.014731
af,0.007777
ij,0.008658
ać,0.007768
łn,0.037613
sw,0.015302
nu,0.011731
oi,0.008636
kc,0.019241
ti,0.017268
ąz,0.073752
ju,0.030364
bl,0.048288
zg,0.01294
ge,0.043501
ęk,0.069551
rk,0.013199
ąt,0.072095
pl,0.022611
yr,0.018123
my,0.02427
dk,0.020076
aa,0.007259
wł,0.013448
ds,0.019648
of,0.007998
ół,0.070778
jw,0.028204
ąp,0.068461
ęw,0.064719
kł,0.017392
yg,0.016943
ńc,0.302094
wó,0.012791
wd,0.012721
ąs,0.064188
jp,0.026366
kw,0.016617
cu,0.014774
gl,0.038178
dc,0.018071
fo,0.141984
łe,0.031903
zł,0.011149
zr,0.01096
żo,0.085126
mz,0.020944
ou,0.007082
łp,0.03053
rg,0.010995
ęs,0.057774
gd,0.035852
łk,0.029726
gu,0.034586
ód,0.058472
jd,0.023228
wl,0.010898
zj,0.009862
ef,0.00688
mk,0.019057
yi,0.014039
dp,0.015714
fa,0.122741
są,0.011154
ża,0.074748
śl,0.084741
hr,0.041043
ką,0.013696
śn,0.082579
śr,0.082507
rę,0.009463
ll,0.020147
ęn,0.049671
nę,0.008182
eń,0.006411
pł,0.016108
mb,0.017349
fr,0.11316
wm,0.009748
tp,0.011666
mm,0.017067
hs,0.038374
eł,0.006074
só,0.010075
rp,0.008869
jm,0.020038
aś,0.004949
cn,0.011099
ua,0.017596
oń,0.005507
pn,0.014688
fe,0.105004
hz,0.036205
ąw,0.046302
łó,0.023229
ób,0.047428
ui,0.016838
uo,0.016837
sn,0.00941
gó,0.027119
tt,0.010492
wą,0.008651
oa,0.00519
sj,0.008953
gn,0.025807
ya,0.010911
jc,0.017685
dd,0.012205
th,0.009896
ól,0.043689
mc,0.014409
lę,0.016266
hu,0.032303
łt,0.020987
gm,0.024834
zz,0.007331
uł,0.015115
tz,0.009521
zs,0.007206
łą,0.020426
iż,0.004627
có,0.009283
km,0.010417
ęś,0.038012
łd,0.019864
md,0.013401
ąg,0.038586
wu,0.007456
yż,0.009708
dm,0.010825
ss,0.00783
łz,0.019203
np,0.005992
kż,0.009783
bn,0.024534
tą,0.008406
hm,0.027948
wb,0.006963
ae,0.003693
kn,0.009287
bs,0.02349
źn,0.481075
kp,0.00915
mr,0.011804
ić,0.003936
yć,0.008593
hk,0.02605
jk,0.013661
ęż,0.031651
hd,0.025551
ts,0.007665
wg,0.006313
mt,0.011097
ee,0.003989
ps,0.010119
jz,0.013255
óż,0.032739
ct,0.007334
ęg,0.029973
nz,0.004941
rb,0.005692
ął,0.031197
sm,0.00641
yu,0.007863
zl,0.005467
lt,0.011874
if,0.003496
mó,0.01043
lm,0.011756
iś,0.003471
ąż,0.030089
ah,0.003094
kę,0.007791
cą,0.006917
wę,0.005788
hc,0.023121
rl,0.005419
óc,0.030673
ęo,0.02824
yś,0.007448
db,0.008309
ht,0.022592
rą,0.005261
nw,0.004552
ąo,0.028788
wj,0.005526
py,0.008767
ió,0.003188
fu,0.062297
ąn,0.027722
ml,0.009467
ćw,0.102934
ęb,0.026239
yf,0.006926
ćs,0.101797
ćz,0.101569
lb,0.010332
łc,0.013425
ąk,0.026571
nó,0.004192
ćp,0.098176
oe,0.003017
żs,0.035945
mj,0.008868
jr,0.01061
ke,0.006692
tl,0.005928
oh,0.002954
rr,0.004515
łm,0.012502
pc,0.007731
żd,0.034165
nf,0.003859
wś,0.004738
lc,0.00932
dt,0.006823
hl,0.018166
sh,0.004793
lą,0.008985
łj,0.011678
dó,0.006553
jb,0.00945
ld,0.008839
ój,0.023335
śm,0.035353
bk,0.014721
óź,0.02283
nr,0.003453
dg,0.006214
ue,0.007966
bę,0.014139
pt,0.006722
kz,0.005552
tm,0.004976
tc,0.004956
hb,0.016356
ęł,0.019924
ąb,0.020623
jl,0.008377
ąi,0.020269
kk,0.005251
kg,0.005248
lw,0.007537
iń,0.002191
dą,0.00541
ąm,0.018751
ąr,0.018727
td,0.004263
jś,0.00749
ye,0.004597
żk,0.025212
ćd,0.067
gę,0.010669
mł,0.006115
żw,0.024755
żl,0.024577
fl,0.03937
nb,0.002761
ih,0.002005
uu,0.006411
mg,0.005957
łg,0.008585
eh,0.002088
łr,0.008456
ćn,0.061948
żą,0.023065
cm,0.00382
uf,0.006069
gw,0.009787
hj,0.01263
łę,0.008083
dj,0.004545
jt,0.006579
ęi,0.015255
ęm,0.015127
ęj,0.014987
hy,0.011912
aź,0.001579
rł,0.002767
tj,0.003522
łb,0.007528
żp,0.02065
ót,0.015284
ęr,0.013945
wh,0.002824
ąj,0.014543
sl,0.00299
kd,0.003774
ay,0.001495
hg,0.011259
mę,0.004958
cs,0.003328
sb,0.002962
wf,0.002779
ćm,0.052975
nm,0.002238
bó,0.009203
żu,0.019291
sr,0.002853
gą,0.008238
cp,0.003182
ćo,0.051148
tb,0.003184
zó,0.002414
ey,0.001677
cw,0.003114
jg,0.005513
pp,0.004165
ąa,0.012876
lp,0.004977
cr,0.002906
pę,0.003946
dę,0.003544
cl,0.002818
tł,0.002824
sd,0.002484
cę,0.002751
jó,0.004898
źd,0.160393
mf,0.004009
ćt,0.043346
żb,0.016084
jj,0.004747
ęl,0.011003
rf,0.002084
kb,0.002961
dź,0.003207
nj,0.001742
sf,0.002268
łż,0.005557
bą,0.007225
hó,0.008456
eź,0.001343
ćk,0.040125
uś,0.003899
hł,0.008159
kj,0.002726
bw,0.006869
lg,0.003977
yń,0.002569
zf,0.001766
ph,0.003125
łi,0.005017
bj,0.00655
ćj,0.037004
bp,0.006464
ąl,0.009723
lf,0.003718
ęa,0.00914
bc,0.006302
bł,0.006276
nl,0.001495
eć,0.00116
yh,0.002336
gh,0.005497
dż,0.002577
ći,0.03374
żc,0.012228
gz,0.005159
mh,0.002956
gs,0.005053
mś,0.002897
cc,0.001932
uh,0.003059
cd,0.001922
zh,0.001472
hf,0.006451
nh,0.001289
żz,0.011275
óz,0.008256
tg,0.00186
ćc,0.029592
ff,0.017797
pk,0.002485
ós,0.008137
ęu,0.007542
ly,0.003034
jf,0.003192
pw,0.002431
ąu,0.00769
źr,0.103965
ćr,0.027893
sg,0.001521
ęć,0.007055
lz,0.002762
óg,0.007312
rj,0.001279
ąć,0.00701
łf,0.003458
ćb,0.025538
gp,0.004084
śp,0.010752
bz,0.004469
mż,0.002289
mą,0.002265
tf,0.001529
łl,0.003249
ąf,0.006424
oy,0.000744
ft,0.014322
rh,0.001113
bb,0.004017
dh,0.00171
kh,0.00148
ća,0.020985
hś,0.004293
cł,0.001245
ńw,0.024389
żj,0.007421
nż,0.000836
ńp,0.024174
ćg,0.019435
żm,0.007214
gt,0.00309
ćl,0.019254
ću,0.019144
bd,0.003373
oć,0.000589
rż,0.000915
lh,0.001939
wż,0.000937
sę,0.00097
pz,0.001436
żt,0.006265
źw,0.060864
cb,0.00103
pm,0.001391
hh,0.003411
bm,0.002821
df,0.001197
zż,0.000746
żę,0.005787
ąś,0.004116
lr,0.001592
hę,0.003136
ęf,0.003848
gg,0.002392
ćż,0.014858
ąe,0.003972
lj,0.00153
kf,0.001023
rć,0.000712
źb,0.051506
pd,0.001175
żó,0.005157
ńz,0.016649
gb,0.002153
bt,0.002346
hż,0.002752
jh,0.001447
ky,0.00091
cg,0.000802
ló,0.001346
żi,0.00481
gk,0.00206
uń,0.001235
fy,0.007277
żr,0.004466
ńn,0.014451
fs,0.007016
fc,0.007002
łś,0.001551
ćf,0.011385
ąh,0.003037
ęh,0.002878
ńi,0.013666
ęe,0.00277
rś,0.000523
jż,0.001162
ńk,0.012852
oź,0.000326
gc,0.001652
łh,0.001367
dś,0.000745
śz,0.004113
tż,0.000601
ńd,0.011311
ńo,0.011055
lż,0.000936
fm,0.005213
gj,0.001383
fn,0.005127
ęź,0.002143
pb,0.000695
ńm,0.009944
pą,0.000683
fp,0.004801
zś,0.000375
iy,0.000242
yź,0.000514
cż,0.000466
kś,0.00052
żg,0.002751
fw,0.004408
gy,0.00117
źl,0.026498
tś,0.000447
źć,0.026048
ók,0.00197
łł,0.000959
bg,0.001237
bh,0.001226
śb,0.002892
pg,0.000574
će,0.00648
bf,0.001138
gf,0.000991
uy,0.000599
uź,0.000598
cf,0.000375
ńt,0.007345
hą,0.001248
fk,0.00361
fg,0.003587
pf,0.000499
śs,0.002495
